establecimiento_id,establecimiento_nombre_comercial,direccion,direccion_municipio_nombre,direccion_localidad_nombre,direccion_codigo_postal,numero_dormitorios_individuales_,numero_dormitorios_dobles_explot,plazas,longitud,latitud
A-38-4-0001033,Lagos De Miramar 408,"C/ Uruguay, 3, Lagos De Miramar Iii, Appto. 408 D",Granadilla De Abona,Medano (El),38612,0,0,4,-16.534924,28.046656
A-38-4-0001034,Los Frailes,"C/ Fragata, 4, Puerta 1 (2a)",Puerto De La Cruz,Puerto De La Cruz,38400,0,0,4,-16.567472,28.405445
A-38-4-0001035,El Estanque,"C/ Fragata, 4, Puerta 4 (5d)",Puerto De La Cruz,Puerto De La Cruz,38400,0,0,4,-16.567472,28.405445
A-38-4-0001040,Sin Denominacion,"C/ Astron, 40",Arona,Rosas (Las),38639,0,0,4,-16.653404,28.021276
A-38-4-0001041,Sin Denominacion,"C/ Astron, 42 - Urb. Estrella Marazul",Arona,Rosas (Las),38640,0,0,4,-16.653404,28.021276
A-38-4-0001044,La Casa Grande,"C/ Sancho Panza, 3",Santa Ursula,Santa Ursula,38390,0,0,10,-16.501017,28.423349
A-38-4-0001047,Rosaly,"C/ Santa Rosalia, 85, 3º, Appto. 2",Santa Cruz Tenerife,Santa Cruz De Tenerife,38002,0,0,2,-16.25223,28.471441
A-38-4-0001048,Rosaly,"C/ Santa Rosalia, 85, 2º, Appto. 1",Santa Cruz Tenerife,Santa Cruz De Tenerife,38002,0,0,2,-16.25223,28.471441
A-38-4-0001050,Casa La Musa,"C/ Tamaide, 38",San Miguel De Abona,Tamaide,38628,0,0,8,-16.625984,28.093836
A-38-4-0001052,Residencial Rolando,Calle Acentejo 86   -1 203,La Matanza De Acentejo,_U,38379,0,2,4,0,0
A-38-4-0001061,La Sabina,"C/ La Sabina, 75",Icod De Los Vinos,Buen Paso,38430,0,0,4,-16.687777,28.383558
A-38-4-0001063,Sin Denominacion,"C/ La Graciosa, 2 - Res. Marineda, Bloque B, Appto. 406",Granadilla De Abona,Medano (El),38612,0,0,2,-16.534872,28.044439
A-38-4-0001066,House Barlovento,"C/ La Gaviota, 19, Appto. A7",Granadilla De Abona,Medano (El),38612,0,0,4,-16.541559,28.042988
A-38-4-0001067,Marineda B-315,"C/ La Graciosa, 2, Res. Marineda, Bloque B, Appto. 315",Granadilla De Abona,Medano (El),38612,0,0,2,-16.534872,28.044439
A-38-4-0001070,Mar Y Monte,"C/ Urbanizacion Los Angeles, Nº 34 Pta A",El Sauzal,Sauzal (El),38369,0,0,6,-16.441822,28.477253
A-38-4-0001073,Sin Denominacion,"C/ La Gaviota, 25, Res. Los Balos, Vivienda 30",Granadilla De Abona,Medano (El),38612,0,0,2,-16.542429,28.042233
A-38-4-0001074,Sin Denominacion,"C/ Codeso, 1, Vivienda A7",Santa Ursula,Quinta (La),38390,0,0,2,-16.490532,28.428638
A-38-4-0001076,Sin Denominacion,"C/ Lanzarote, 5",Tacoronte,Tacoronte,38350,0,0,6,-16.418249,28.515875
A-38-4-0001078,Sin Denominacion,"C/ Jose Reyes Martin, 16, Edf. Lagos Mirazul, Portal 2, 2º, Puerta 1",Granadilla De Abona,Medano (El),38612,0,0,3,-16.535337,28.045647
A-38-4-0001080,Sin Denominacion,"C/ La Gaviota, 25, Res. Los Balos, Vivienda 30",Granadilla De Abona,Medano (El),38612,0,0,2,-16.542429,28.042233
A-38-4-0001081,Sin Denominación,"Avda. Juan Carlos I, 31, Res. Jardines Del Sur, Edf. 4, Vivienda 6º C",Arona,Cristianos (Los),38640,0,0,4,-16.709738,28.048981
A-38-4-0001083,Casa Charly,"Pasaje Roque Nublo, 5",Tacoronte,Juan Fernandez,38358,0,0,6,-16.418152,28.515495
A-38-4-0001085,Atico Vacacional 3 Dormitorios,"Avda. Chayofita, 7, Edf. Meseña, Appto. 41",Arona,Cristianos (Los),38650,0,0,5,-16.715862,28.05596
A-38-4-0001102,Rosaly,"C/ Santa Rosalia, 85, 3º, Appto. 3",Santa Cruz Tenerife,Santa Cruz De Tenerife,38002,0,0,2,-16.25223,28.471441
A-38-4-0001103,Edificio Crucero,"Avda. Juan Carlos I, 3, Edf. Crucero, Appto. 36",Guia Isora,Playa De San Juan,38687,0,0,4,-16.813654,28.181843
A-38-4-0001104,Edificio Crucero,"Avda. Juan Carlos I, 3, Edf. Crucero, Appto. 21",Guia Isora,Playa De San Juan,38687,0,0,3,-16.813654,28.181843
A-38-4-0001105,Casa La Molineta,"C/ Cuatro Esquinas, 13",Arafo,Arafo,38550,0,0,4,-16.392469,28.335476
A-38-4-0001106,La Pimentera,"C/ Iboybo Nº 5, Lomo Del Clérigo",Adeje,Iboybo,38677,0,16,42,-16.764326,28.14386
A-38-4-0001107,Sin Denominacion,"C/ Tabona, 13a, 2º, Appto. A",Icod De Los Vinos,Icod De Los Vinos,38430,0,0,4,-16.720791,28.371803
A-38-4-0001108,Sin Denominacion,"C/ Tabona, 13a, 2º, Apto. 7 G",Icod De Los Vinos,Icod De Los Vinos,38430,0,0,4,-16.720791,28.371803
A-38-4-0001109,La Manzanilla,"Avda. Tabares Bartlet, 15",San Cristobal De La Laguna,San Cristobal De La Laguna,38208,0,0,12,-16.318102,28.493858
A-38-4-0001115,Sin Denominacion,"C/ Juan Pedro Rodriguez Cruz, 10, 1ºa",Guimar,Fátima,38500,0,0,4,-16.371775,28.296686
A-38-4-0001120,Casa Medano,"C/ La Gaviota, 23, 2º, Appto. 18",Granadilla De Abona,Medano (El),38612,0,0,4,-16.542046,28.042667
A-38-4-0001133,La Cascada,"C/ Acentejo, 74 - La Cascada",La Matanza De Acentejo,Matanza De Acentejo (La),38370,0,0,2,-16.465393,28.449623
A-38-4-0001134,Don Carlos,"C/ Acentejo, 74 - Don Carlos",La Matanza De Acentejo,Matanza De Acentejo (La),38370,0,0,2,-16.465393,28.449623
A-38-4-0001135,Delia,"C/ Acentejo, 74 - Delia",La Matanza De Acentejo,Matanza De Acentejo (La),38370,0,0,2,-16.465393,28.449623
A-38-4-0001137,Res. Benimar,"C/ Reykjavik, Res. Benimar, Apto. F-26",Adeje,Adeje,38660,0,0,3,-16.731314,28.093418
A-38-4-0001139,Miraflores,"Calle Miraflores, 3, 1º Dcha.",Santa Cruz Tenerife,Santa Cruz De Tenerife,38003,0,0,14,-16.25099,28.465149
A-38-4-0001140,Sin Denominacion,"C/ Jilguero, 9, Res. Mocan Del Palm-Mar, Bloque V, Appto. 1q",Arona,Palm-Mar,38632,0,0,2,-16.695845,28.024771
A-38-4-0001142,Alaia,"C/ Acaymo, 9",Adeje,Puerto Colón,38670,0,0,8,-16.734222,28.125149
